sample_id,y
sample_1095,0.23823267
sample_1096,0.73250425
sample_1097,0.25613254
sample_1098,0.88780403
sample_1099,0.5058158
sample_1100,0.6061669
sample_1101,0.94000906
sample_1102,0.49368596
sample_1103,0.36174852
sample_1104,0.62892604
sample_1105,0.96066064
sample_1106,0.69297487
sample_1107,0.34079495
sample_1108,0.21507293
sample_1109,0.32375488
sample_1110,0.6202805
sample_1111,0.11161211
sample_1112,0.26223192
sample_1113,0.6021028
sample_1114,0.6694691
sample_1115,0.8663693
sample_1116,0.5639982
sample_1117,0.73864204
sample_1118,0.6307147
sample_1119,0.48138636
sample_1120,0.5092843
sample_1121,0.8120601
sample_1122,0.6034896
sample_1123,0.11243874
sample_1124,0.36608484
sample_1125,0.85619575
sample_1126,0.52902436
sample_1127,0.68013835
sample_1128,0.7900174
sample_1129,0.73673725
sample_1130,0.5069164
sample_1131,0.9568182
sample_1132,0.8258712
sample_1133,0.26115972
sample_1134,0.75667304
sample_1135,0.34719318
sample_1136,0.5097082
sample_1137,0.79099095
sample_1138,0.77429825
sample_1139,0.13783179
sample_1140,0.8874427
sample_1141,0.64691806
sample_1142,0.7151481
sample_1143,0.0075704455
sample_1144,0.55827165
sample_1145,0.18934022
sample_1146,0.82602787
sample_1147,0.82629776
sample_1148,0.70342034
sample_1149,0.5361754
sample_1150,0.84402627
sample_1151,0.1250393
sample_1152,0.6928857
sample_1153,0.332757
sample_1154,0.94834965
sample_1155,0.5192602
sample_1156,0.35106242
sample_1157,0.8906352
sample_1158,0.81502837
sample_1159,0.57497585
sample_1160,0.64346504
sample_1161,0.42879835
sample_1162,0.376248
sample_1163,0.7821702
sample_1164,0.4857658
sample_1165,0.44863075
sample_1166,0.70313895
sample_1167,0.3301516
sample_1168,0.69888824
sample_1169,0.38848525
sample_1170,0.5737597
sample_1171,0.8044647
sample_1172,0.5175407
sample_1173,0.7851776
sample_1174,0.8357722
sample_1175,0.72359776
sample_1176,0.29017583
sample_1177,0.21994281
sample_1178,0.85737
sample_1179,0.50632375
sample_1180,0.73696184
sample_1181,0.77597415
sample_1182,0.4663734
sample_1183,0.3429853
sample_1184,0.746887
sample_1185,0.3445545
sample_1186,0.5767303
sample_1187,0.67805284
sample_1188,0.6325863
sample_1189,0.9083569
sample_1190,0.62283933
sample_1191,0.8520492
sample_1192,0.60110766
sample_1193,0.54856354
sample_1194,0.59612536
sample_1195,0.56594235
sample_1196,0.9777258
sample_1197,0.53205264
sample_1198,0.6467327
sample_1199,0.7084808
sample_1200,0.8485178
sample_1201,0.68633604
sample_1202,0.7642301
sample_1203,0.532289
sample_1204,0.47137678
sample_1205,0.41780502
sample_1206,0.877358
sample_1207,0.18294281
sample_1208,0.9315544
sample_1209,0.7127701
sample_1210,0.79239595
sample_1211,0.7407838
sample_1212,0.55204576
sample_1213,0.32629314
sample_1214,0.4430511
sample_1215,0.7053249
sample_1216,0.6368308
sample_1217,0.8498545
sample_1218,0.8126331
sample_1219,0.61283886
sample_1220,0.73375195
sample_1221,0.8074518
sample_1222,0.800742
sample_1223,0.8559544
sample_1224,0.8145638
sample_1225,0.1274412
sample_1226,0.2588736
sample_1227,0.65546334
sample_1228,0.7680048
sample_1229,0.5635241
sample_1230,0.55490255
sample_1231,0.95260215
sample_1232,0.2523552
sample_1233,0.2805238
sample_1234,0.07318392
sample_1235,0.45703804
sample_1236,0.17449379
sample_1237,0.5235625
sample_1238,0.8573809
sample_1239,0.90538454
sample_1240,0.5078518
sample_1241,0.7460788
sample_1242,0.9212567
sample_1243,0.70829606
sample_1244,0.5273779
sample_1245,0.15436319
sample_1246,0.36226368
sample_1247,0.828573
sample_1248,0.6010447
sample_1249,0.6799632
sample_1250,0.7509201
sample_1251,0.8494326
sample_1252,0.9137333
sample_1253,0.86598307
sample_1254,0.62375075
sample_1255,0.80627316
sample_1256,0.6524502
sample_1257,0.6927807
sample_1258,0.87272644
sample_1259,0.6951959
sample_1260,0.5507684
sample_1261,0.5016471
sample_1262,0.5453947
sample_1263,0.91801196
sample_1264,0.6703165
sample_1265,0.25373507
sample_1266,0.5827681
sample_1267,0.6384303
sample_1268,0.6695874
sample_1269,0.689617
sample_1270,0.60220677
sample_1271,0.62528485
sample_1272,0.9153525
sample_1273,0.8917749
sample_1274,0.897203
sample_1275,0.5692254
sample_1276,0.76162905
sample_1277,0.80907625
sample_1278,0.7512894
sample_1279,0.8390783
sample_1280,0.64015234
sample_1281,0.72057754
sample_1282,0.6652823
sample_1283,0.74289596
sample_1284,0.79603547
sample_1285,0.59068114
sample_1286,0.59513396
sample_1287,0.93711036
sample_1288,0.8584928
