sample_id,y
sample_1095,0.35801363
sample_1096,0.6364517
sample_1097,0.4003521
sample_1098,0.6383007
sample_1099,0.43438065
sample_1100,0.60825855
sample_1101,0.64565533
sample_1102,0.37754136
sample_1103,0.3907888
sample_1104,0.38178056
sample_1105,0.6442815
sample_1106,0.59435505
sample_1107,0.42506874
sample_1108,0.44571474
sample_1109,0.56020653
sample_1110,0.6383007
sample_1111,0.35847342
sample_1112,0.39126503
sample_1113,0.62994874
sample_1114,0.57737327
sample_1115,0.64519763
sample_1116,0.41970137
sample_1117,0.61063874
sample_1118,0.62667924
sample_1119,0.5562608
sample_1120,0.5651279
sample_1121,0.5763969
sample_1122,0.5219858
sample_1123,0.41775423
sample_1124,0.5409084
sample_1125,0.6172749
sample_1126,0.43290704
sample_1127,0.6304148
sample_1128,0.64519763
sample_1129,0.6304148
sample_1130,0.36772326
sample_1131,0.64565533
sample_1132,0.6410665
sample_1133,0.43438065
sample_1134,0.6313462
sample_1135,0.43585536
sample_1136,0.39795378
sample_1137,0.64382297
sample_1138,0.6318116
sample_1139,0.3719181
sample_1140,0.6442815
sample_1141,0.63088065
sample_1142,0.5948372
sample_1143,0.44373918
sample_1144,0.5778612
sample_1145,0.37425703
sample_1146,0.64336425
sample_1147,0.600128
sample_1148,0.385564
sample_1149,0.62386763
sample_1150,0.64336425
sample_1151,0.42947343
sample_1152,0.6415266
sample_1153,0.3946045
sample_1154,0.64290524
sample_1155,0.392695
sample_1156,0.54636645
sample_1157,0.61821944
sample_1158,0.614436
sample_1159,0.6262112
sample_1160,0.6336706
sample_1161,0.53941804
sample_1162,0.39412683
sample_1163,0.63506234
sample_1164,0.41386774
sample_1165,0.5134967
sample_1166,0.6373767
sample_1167,0.37754136
sample_1168,0.61253905
sample_1169,0.5508239
sample_1170,0.6111141
sample_1171,0.6424459
sample_1172,0.60443956
sample_1173,0.627147
sample_1174,0.64382297
sample_1175,0.6387623
sample_1176,0.5194901
sample_1177,0.36216116
sample_1178,0.62292856
sample_1179,0.40660968
sample_1180,0.6355257
sample_1181,0.58321834
sample_1182,0.40371764
sample_1183,0.40227413
sample_1184,0.62480575
sample_1185,0.3598544
sample_1186,0.6158564
sample_1187,0.6442815
sample_1188,0.625743
sample_1189,0.6392237
sample_1190,0.6262112
sample_1191,0.64519763
sample_1192,0.49650007
sample_1193,0.61253905
sample_1194,0.62480575
sample_1195,0.5419015
sample_1196,0.64565533
sample_1197,0.42702496
sample_1198,0.6322768
sample_1199,0.6364517
sample_1200,0.6215182
sample_1201,0.64473975
sample_1202,0.6332063
sample_1203,0.6053955
sample_1204,0.5324543
sample_1205,0.56020653
sample_1206,0.64336425
sample_1207,0.3841436
sample_1208,0.6355257
sample_1209,0.601567
sample_1210,0.62198853
sample_1211,0.5991677
sample_1212,0.58661735
sample_1213,0.4526423
sample_1214,0.38603792
sample_1215,0.64565533
sample_1216,0.56463635
sample_1217,0.6383007
sample_1218,0.64519763
sample_1219,0.60635066
sample_1220,0.53693265
sample_1221,0.64290524
sample_1222,0.6364517
sample_1223,0.64565533
sample_1224,0.6424459
sample_1225,0.42555758
sample_1226,0.36169928
sample_1227,0.6318116
sample_1228,0.6196345
sample_1229,0.6025253
sample_1230,0.58855593
sample_1231,0.6442815
sample_1232,0.52348274
sample_1233,0.5582346
sample_1234,0.37051764
sample_1235,0.58661735
sample_1236,0.39364937
sample_1237,0.59194183
sample_1238,0.6285489
sample_1239,0.6387623
sample_1240,0.5861323
sample_1241,0.5982067
sample_1242,0.6149097
sample_1243,0.59964794
sample_1244,0.56168425
sample_1245,0.5666019
sample_1246,0.3719181
sample_1247,0.64519763
sample_1248,0.42947343
sample_1249,0.5841903
sample_1250,0.6383007
sample_1251,0.64382297
sample_1252,0.64290524
sample_1253,0.64336425
sample_1254,0.6115893
sample_1255,0.64473975
sample_1256,0.6387623
sample_1257,0.62198853
sample_1258,0.6364517
sample_1259,0.43388933
sample_1260,0.6111141
sample_1261,0.5724856
sample_1262,0.5204885
sample_1263,0.62292856
sample_1264,0.5547793
sample_1265,0.39556047
sample_1266,0.59145874
sample_1267,0.64060616
sample_1268,0.6115893
sample_1269,0.62386763
sample_1270,0.5532968
sample_1271,0.43831575
sample_1272,0.64473975
sample_1273,0.6442815
sample_1274,0.61396205
sample_1275,0.58564705
sample_1276,0.6318116
sample_1277,0.41435295
sample_1278,0.62901574
sample_1279,0.56266874
sample_1280,0.5991677
sample_1281,0.63506234
sample_1282,0.63088065
sample_1283,0.6410665
sample_1284,0.64473975
sample_1285,0.6025253
sample_1286,0.63968474
sample_1287,0.64519763
sample_1288,0.64014566
